# model: gpt-4o-2024-08-06, read from the API's own result.model echo, not from config
# weights: OpenAI hosted; proxy started with OPENAI_MODEL=gpt-4o, which resolved to gpt-4o-2024-08-06
# run: methods_cloud_probe variant B, 21 Sep 2026, 160 paragraphs of evals/grrb/scientific_extraction.jsonl
# run: ground truth is the two-author corrected set (§11 D198); 26 genuine / 134 not
# run: GRRB_VERBATIM=1 GRRB_MAX_TOKENS=24 -- result.text read verbatim and parsed
# run: fence-tolerantly. §11 D204: gpt-4o wraps replies in a ```json fence ~80% of
# run: the time and max_tokens 8 truncated it, so the typed client scored 38% of
# run: CORRECT answers as errors. The D197 default path is unchanged and still 8.
# run: transport is the real proxy -- App Check header, /verify route, structured
# run: validator -- so the same 12 paragraphs are excluded as in §11 D197.
# run: the proxy sets NO temperature, so OpenAI's default 1.0 applies: these rows
# run: are sampled, not deterministic.
variant	id	label	answer	detail
B	grrb-sci-000	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-001	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-002	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-003	0	no	stop=stop {"answer":"no"}
B	grrb-sci-004	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-005	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-006	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-007	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-008	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-009	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-010	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-011	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-012	0	no	stop=stop {"answer":"no"}
B	grrb-sci-013	0	no	stop=stop {"answer":"no"}
B	grrb-sci-014	0	no	stop=stop {"answer":"no"}
B	grrb-sci-015	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-016	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-017	0	no	stop=stop {"answer":"no"}
B	grrb-sci-018	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-019	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-020	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-021	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-022	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-023	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-024	0	no	stop=stop {"answer":"no"}
B	grrb-sci-025	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-026	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-027	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-028	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-029	0	no	stop=stop {"answer":"no"}
B	grrb-sci-030	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-031	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-032	0	no	stop=stop {"answer":"no"}
B	grrb-sci-033	0	no	stop=stop {"answer":"no"}
B	grrb-sci-034	0	no	stop=stop {"answer":"no"}
B	grrb-sci-035	0	no	stop=stop {"answer":"no"}
B	grrb-sci-036	0	no	stop=stop {"answer":"no"}
B	grrb-sci-037	0	no	stop=stop {"answer":"no"}
B	grrb-sci-038	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-039	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-040	0	no	stop=stop {"answer":"no"}
B	grrb-sci-041	0	no	stop=stop {"answer":"no"}
B	grrb-sci-042	0	no	stop=stop {"answer":"no"}
B	grrb-sci-043	0	no	stop=stop {"answer":"no"}
B	grrb-sci-044	0	no	stop=stop {"answer":"no"}
B	grrb-sci-045	0	no	stop=stop {"answer":"no"}
B	grrb-sci-046	0	no	stop=stop {"answer":"no"}
B	grrb-sci-047	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-048	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
B	grrb-sci-049	0	no	stop=stop {"answer":"no"}
B	grrb-sci-050	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-051	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-052	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-053	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-054	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-055	1	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 15 sentences reads like raw pros
B	grrb-sci-056	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-057	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-058	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-059	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-060	0	no	stop=stop {"answer":"no"}
B	grrb-sci-061	0	no	stop=stop {"answer":"no"}
B	grrb-sci-062	0	no	stop=stop {"answer":"no"}
B	grrb-sci-063	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-064	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-065	0	no	stop=stop {"answer":"no"}
B	grrb-sci-066	0	no	stop=stop {"answer":"no"}
B	grrb-sci-067	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-068	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 11 sentences reads like raw pros
B	grrb-sci-069	0	no	stop=stop {"answer":"no"}
B	grrb-sci-070	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-071	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-072	0	no	stop=stop {"answer":"no"}
B	grrb-sci-073	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-074	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-075	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-076	0	no	stop=stop {"answer":"no"}
B	grrb-sci-077	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-078	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-079	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
B	grrb-sci-080	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
B	grrb-sci-081	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-082	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-083	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2104 chars looks like raw prose; s
B	grrb-sci-084	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 12 sentences reads like raw pros
B	grrb-sci-085	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 11 sentences reads like raw pros
B	grrb-sci-086	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 9 sentences reads like raw prose
B	grrb-sci-087	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2045 chars looks like raw prose; s
B	grrb-sci-088	0	no	stop=stop {"answer":"no"}
B	grrb-sci-089	0	no	stop=stop {"answer":"no"}
B	grrb-sci-090	0	no	stop=stop {"answer":"no"}
B	grrb-sci-091	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2143 chars looks like raw prose; s
B	grrb-sci-092	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-093	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-094	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-095	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-096	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-097	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-098	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-099	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-100	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-101	1	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-102	0	no	stop=stop {"answer":"no"}
B	grrb-sci-103	0	no	stop=stop {"answer":"no"}
B	grrb-sci-104	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-105	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-106	0	no	stop=stop {"answer":"no"}
B	grrb-sci-107	0	no	stop=stop {"answer":"no"}
B	grrb-sci-108	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-109	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-110	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-111	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-112	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-113	0	no	stop=stop {"answer":"no"}
B	grrb-sci-114	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-115	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-116	0	no	stop=stop {"answer":"no"}
B	grrb-sci-117	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-118	0	no	stop=stop {"answer":"no"}
B	grrb-sci-119	0	no	stop=stop {"answer":"no"}
B	grrb-sci-120	0	no	stop=stop {"answer":"no"}
B	grrb-sci-121	0	no	stop=stop {"answer":"no"}
B	grrb-sci-122	0	no	stop=stop {"answer":"no"}
B	grrb-sci-123	0	no	stop=stop {"answer":"no"}
B	grrb-sci-124	0	no	stop=stop {"answer":"no"}
B	grrb-sci-125	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-126	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-127	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-128	0	no	stop=stop {"answer":"no"}
B	grrb-sci-129	0	no	stop=stop {"answer":"no"}
B	grrb-sci-130	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-131	0	no	stop=stop {"answer":"no"}
B	grrb-sci-132	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 4634 chars looks like raw prose; s
B	grrb-sci-133	0	no	stop=stop {"answer":"no"}
B	grrb-sci-134	0	no	stop=stop {"answer":"no"}
B	grrb-sci-135	0	no	stop=stop {"answer":"no"}
B	grrb-sci-136	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-137	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-138	0	no	stop=stop {"answer":"no"}
B	grrb-sci-139	0	no	stop=stop {"answer":"no"}
B	grrb-sci-140	0	no	stop=stop {"answer":"no"}
B	grrb-sci-141	0	no	stop=stop {"answer":"no"}
B	grrb-sci-142	0	no	stop=stop {"answer":"no"}
B	grrb-sci-143	0	no	stop=stop {"answer":"no"}
B	grrb-sci-144	0	no	stop=stop {"answer":"no"}
B	grrb-sci-145	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-146	0	no	stop=stop ```json {"answer":"no"} ```
B	grrb-sci-147	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-148	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-149	0	no	stop=stop {"answer":"no"}
B	grrb-sci-150	0	no	stop=stop {"answer":"no"}
B	grrb-sci-151	0	no	stop=stop {"answer":"no"}
B	grrb-sci-152	0	no	stop=stop {"answer":"no"}
B	grrb-sci-153	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-154	0	yes	stop=stop {"answer":"yes"}
B	grrb-sci-155	0	no	stop=stop {"answer":"no"}
B	grrb-sci-156	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-157	0	yes	stop=stop ```json {"answer":"yes"} ```
B	grrb-sci-158	1	yes	stop=stop {"answer":"yes"}
B	grrb-sci-159	1	yes	stop=stop {"answer":"yes"}
