# model: qwen2.5-0.5b-instruct-q4km
# weights: Qwen2.5-0.5B-Instruct-Q4_K_M.gguf (bundled, STOCK - general.base_model.0.repo_url = Qwen/Qwen2.5-0.5B)
# loader: BundledGenerativeLoader; NOT SLM-1, which is the 7B per models/mod.rs:102. §11 D199
# run: examples/methods_model_probe, 160 cases x 2 prompt variants, 20 Sep 2026
variant	idx	label	regex	noskill	answer	raw
A	0	0	true	false	no	no
A	1	0	true	false	yes	Yes
A	2	1	false	true	no	no
A	3	0	true	false	yes	yes
A	4	0	true	false	no	no
A	5	1	true	false	no	No
A	6	1	true	false	no	no
A	7	1	true	false	yes	Yes
A	8	1	true	false	yes	yes
A	9	0	true	false	no	no
A	10	1	true	false	yes	yes
A	11	0	true	false	yes	yes
A	12	0	true	false	yes	Yes
A	13	0	true	false	yes	Yes
A	14	0	true	false	yes	Yes
A	15	0	true	false	yes	yes
A	16	1	true	false	yes	yes
A	17	0	false	true	yes	yes
A	18	0	false	true	yes	Yes
A	19	1	false	true	yes	Yes
A	20	1	false	true	yes	yes
A	21	0	true	false	yes	Yes
A	22	0	true	false	yes	yes
A	23	0	true	false	yes	yes
A	24	0	true	false	yes	Yes
A	25	0	true	false	yes	yes
A	26	0	true	false	no	no
A	27	0	true	false	yes	yes
A	28	0	true	false	no	no
A	29	0	true	false	yes	yes
A	30	1	true	false	no	no
A	31	1	true	false	yes	yes
A	32	0	true	false	yes	yes
A	33	0	true	true	yes	Yes
A	34	0	true	false	yes	Yes
A	35	0	true	false	yes	yes
A	36	0	true	false	yes	yes
A	37	0	true	false	yes	yes
A	38	0	true	false	yes	yes
A	39	0	true	false	yes	Yes
A	40	0	true	false	yes	yes
A	41	0	true	false	yes	Yes
A	42	0	true	false	yes	Yes
A	43	0	true	false	yes	yes
A	44	0	true	false	yes	yes
A	45	0	true	false	yes	Yes
A	46	0	true	false	yes	Yes
A	47	0	true	false	no	no
A	48	0	true	false	yes	yes
A	49	0	false	true	yes	yes
A	50	1	true	false	yes	Yes
A	51	0	true	false	no	No
A	52	1	true	false	no	No
A	53	1	true	false	yes	yes
A	54	0	true	false	yes	Yes
A	55	1	true	false	no	no
A	56	0	true	false	yes	Yes
A	57	1	true	false	no	no
A	58	1	true	false	yes	yes
A	59	0	true	false	yes	Yes
A	60	0	true	false	yes	yes
A	61	0	true	false	yes	Yes
A	62	0	true	false	yes	Yes
A	63	0	true	false	no	No
A	64	0	true	false	yes	Yes
A	65	0	true	false	no	No
A	66	0	true	false	yes	yes
A	67	0	true	false	yes	Yes
A	68	0	true	false	no	no
A	69	0	true	false	yes	Yes
A	70	0	true	false	no	No
A	71	0	true	false	yes	Yes
A	72	0	true	false	yes	yes
A	73	0	true	false	no	No
A	74	0	true	false	yes	Yes
A	75	0	true	false	yes	Yes
A	76	0	true	false	yes	Yes
A	77	0	false	true	yes	yes
A	78	0	true	false	yes	yes
A	79	0	true	false	yes	yes
A	80	0	true	false	yes	yes
A	81	0	true	false	yes	yes
A	82	0	true	false	no	no
A	83	0	true	false	yes	yes
A	84	1	true	false	yes	yes
A	85	0	true	false	yes	yes
A	86	0	true	false	yes	Yes
A	87	0	true	false	no	no
A	88	0	true	false	yes	Yes
A	89	0	true	false	yes	yes
A	90	0	true	false	yes	yes
A	91	0	true	false	yes	yes
A	92	1	true	false	yes	yes
A	93	0	true	false	yes	yes
A	94	0	true	false	yes	yes
A	95	0	true	false	no	no
A	96	1	true	false	yes	Yes
A	97	1	true	false	yes	yes
A	98	0	true	false	no	no
A	99	0	true	false	yes	yes
A	100	0	true	false	yes	yes
A	101	1	true	false	no	no
A	102	0	true	false	no	no
A	103	0	true	false	yes	yes
A	104	0	true	false	yes	yes
A	105	0	true	false	no	no
A	106	0	true	false	yes	yes
A	107	0	true	false	yes	yes
A	108	0	true	false	no	No
A	109	0	true	false	yes	yes
A	110	1	true	false	no	No
A	111	0	true	false	yes	yes
A	112	0	true	false	yes	yes
A	113	0	true	false	yes	yes
A	114	0	true	false	yes	yes
A	115	0	true	false	yes	yes
A	116	0	true	false	yes	yes
A	117	0	true	false	yes	yes
A	118	0	true	false	yes	yes
A	119	0	true	false	yes	yes
A	120	0	true	false	yes	yes
A	121	0	true	false	yes	yes
A	122	0	true	false	yes	Yes
A	123	0	true	false	yes	yes
A	124	0	true	false	yes	yes
A	125	0	true	false	yes	yes
A	126	0	true	false	yes	Yes
A	127	0	true	false	yes	yes
A	128	0	true	false	yes	yes
A	129	0	true	false	yes	yes
A	130	0	true	false	no	no
A	131	0	true	false	yes	yes
A	132	0	true	false	yes	yes
A	133	0	true	false	yes	yes
A	134	0	true	false	yes	yes
A	135	0	true	false	no	no
A	136	1	true	false	yes	yes
A	137	0	true	false	no	no
A	138	0	true	false	yes	yes
A	139	0	true	false	no	no
A	140	0	true	false	no	No
A	141	0	true	false	yes	yes
A	142	0	true	false	yes	yes
A	143	0	true	false	no	No
A	144	0	true	false	yes	yes
A	145	0	true	false	yes	yes
A	146	0	true	false	yes	yes
A	147	0	true	false	yes	yes
A	148	1	true	false	no	No
A	149	0	true	false	yes	Yes
A	150	0	true	false	yes	yes
A	151	0	true	false	yes	yes
A	152	0	true	false	yes	yes
A	153	0	true	false	yes	yes
A	154	0	true	false	no	No
A	155	0	true	false	yes	yes
A	156	1	false	true	yes	yes
A	157	0	false	true	yes	yes
A	158	1	false	true	yes	Yes
A	159	1	false	true	yes	yes
B	0	0	true	false	yes	yes
B	1	0	true	false	yes	yes
B	2	1	false	true	yes	yes
B	3	0	true	false	yes	yes
B	4	0	true	false	yes	yes
B	5	1	true	false	yes	yes
B	6	1	true	false	yes	yes
B	7	1	true	false	yes	yes
B	8	1	true	false	yes	yes
B	9	0	true	false	yes	yes
B	10	1	true	false	yes	yes
B	11	0	true	false	yes	yes
B	12	0	true	false	yes	yes
B	13	0	true	false	yes	yes
B	14	0	true	false	yes	yes
B	15	0	true	false	yes	yes
B	16	1	true	false	yes	yes
B	17	0	false	true	yes	yes
B	18	0	false	true	yes	yes
B	19	1	false	true	yes	yes
B	20	1	false	true	yes	yes
B	21	0	true	false	yes	yes
B	22	0	true	false	yes	yes
B	23	0	true	false	yes	yes
B	24	0	true	false	yes	yes
B	25	0	true	false	yes	yes
B	26	0	true	false	yes	yes
B	27	0	true	false	yes	yes
B	28	0	true	false	yes	yes
B	29	0	true	false	yes	yes
B	30	1	true	false	yes	yes
B	31	1	true	false	yes	yes
B	32	0	true	false	yes	yes
B	33	0	true	true	yes	yes
B	34	0	true	false	yes	yes
B	35	0	true	false	yes	yes
B	36	0	true	false	yes	yes
B	37	0	true	false	yes	yes
B	38	0	true	false	yes	yes
B	39	0	true	false	yes	yes
B	40	0	true	false	yes	yes
B	41	0	true	false	yes	yes
B	42	0	true	false	yes	yes
B	43	0	true	false	yes	yes
B	44	0	true	false	yes	yes
B	45	0	true	false	yes	yes
B	46	0	true	false	yes	yes
B	47	0	true	false	yes	yes
B	48	0	true	false	yes	yes
B	49	0	false	true	yes	yes
B	50	1	true	false	yes	yes
B	51	0	true	false	yes	yes
B	52	1	true	false	yes	yes
B	53	1	true	false	yes	yes
B	54	0	true	false	yes	yes
B	55	1	true	false	yes	yes
B	56	0	true	false	yes	yes
B	57	1	true	false	yes	yes
B	58	1	true	false	yes	yes
B	59	0	true	false	yes	yes
B	60	0	true	false	yes	yes
B	61	0	true	false	yes	yes
B	62	0	true	false	yes	yes
B	63	0	true	false	yes	yes
B	64	0	true	false	yes	yes
B	65	0	true	false	yes	yes
B	66	0	true	false	yes	yes
B	67	0	true	false	yes	yes
B	68	0	true	false	no	no
B	69	0	true	false	yes	yes
B	70	0	true	false	no	no
B	71	0	true	false	yes	yes
B	72	0	true	false	yes	yes
B	73	0	true	false	yes	yes
B	74	0	true	false	yes	yes
B	75	0	true	false	yes	yes
B	76	0	true	false	yes	yes
B	77	0	false	true	yes	yes
B	78	0	true	false	yes	yes
B	79	0	true	false	yes	yes
B	80	0	true	false	yes	yes
B	81	0	true	false	yes	yes
B	82	0	true	false	yes	yes
B	83	0	true	false	yes	yes
B	84	1	true	false	yes	yes
B	85	0	true	false	yes	yes
B	86	0	true	false	yes	yes
B	87	0	true	false	yes	yes
B	88	0	true	false	yes	yes
B	89	0	true	false	yes	yes
B	90	0	true	false	yes	yes
B	91	0	true	false	yes	yes
B	92	1	true	false	yes	yes
B	93	0	true	false	yes	yes
B	94	0	true	false	yes	yes
B	95	0	true	false	yes	yes
B	96	1	true	false	yes	yes
B	97	1	true	false	yes	yes
B	98	0	true	false	yes	yes
B	99	0	true	false	yes	yes
B	100	0	true	false	yes	yes
B	101	1	true	false	yes	yes
B	102	0	true	false	yes	yes
B	103	0	true	false	yes	yes
B	104	0	true	false	yes	yes
B	105	0	true	false	yes	yes
B	106	0	true	false	yes	yes
B	107	0	true	false	yes	yes
B	108	0	true	false	yes	yes
B	109	0	true	false	yes	yes
B	110	1	true	false	yes	yes
B	111	0	true	false	yes	yes
B	112	0	true	false	yes	yes
B	113	0	true	false	yes	yes
B	114	0	true	false	yes	yes
B	115	0	true	false	yes	yes
B	116	0	true	false	yes	yes
B	117	0	true	false	yes	yes
B	118	0	true	false	yes	yes
B	119	0	true	false	yes	yes
B	120	0	true	false	yes	yes
B	121	0	true	false	yes	yes
B	122	0	true	false	yes	yes
B	123	0	true	false	yes	yes
B	124	0	true	false	yes	yes
B	125	0	true	false	yes	yes
B	126	0	true	false	yes	yes
B	127	0	true	false	yes	yes
B	128	0	true	false	yes	yes
B	129	0	true	false	yes	yes
B	130	0	true	false	yes	yes
B	131	0	true	false	yes	yes
B	132	0	true	false	yes	yes
B	133	0	true	false	yes	yes
B	134	0	true	false	yes	yes
B	135	0	true	false	yes	yes
B	136	1	true	false	yes	yes
B	137	0	true	false	yes	yes
B	138	0	true	false	yes	yes
B	139	0	true	false	yes	yes
B	140	0	true	false	yes	yes
B	141	0	true	false	yes	yes
B	142	0	true	false	yes	yes
B	143	0	true	false	yes	yes
B	144	0	true	false	yes	yes
B	145	0	true	false	yes	yes
B	146	0	true	false	yes	yes
B	147	0	true	false	yes	yes
B	148	1	true	false	yes	yes
B	149	0	true	false	yes	yes
B	150	0	true	false	yes	yes
B	151	0	true	false	yes	yes
B	152	0	true	false	yes	yes
B	153	0	true	false	yes	yes
B	154	0	true	false	yes	yes
B	155	0	true	false	yes	yes
B	156	1	false	true	yes	yes
B	157	0	false	true	yes	yes
B	158	1	false	true	yes	yes
B	159	1	false	true	yes	yes
