# model: gpt-4o-2024-08-06, read from the API's own result.model echo on every row, not from config
# weights: OpenAI hosted; proxy started with OPENAI_MODEL=gpt-4o, which resolved to gpt-4o-2024-08-06
# run: methods_ctx_probe (CORRECTED), 22 Sep 2026, 160 paragraphs of evals/grrb/scientific_extraction_ctx.jsonl
# run: variants A and B, THREE runs each (rows A1..A3, B1..B3); §11 D205: no cloud number decides on one run
# run: the context is NESTED UNDER `summary` — the correction §11 D205 needed. v1 sent it as top-level
# run: siblings, which both proxy provider clients discard; git show 63a706a for that version.
# run: BEFORE any case was scored the probe proved receipt through the real client: the model echoed
# run: HEADINGSENTINEL7Q4 / PREVSENTINEL8R5 / NEXTSENTINEL9S6 back from inside `summary`. It exits 2
# run: without sending a case if they do not return (negative control: GRRB_PROVE_SIBLING=1).
# run: 144 of 160 pass the proxy's structured validator, a strict superset of §11 D204's 12 exclusions.
# run: RUN B3 IS TRUNCATED: 39 x 500 Internal Server Error, contiguous rows 110-159, ALL from
# run: `final final L.pdf` because the case file is document-ordered. Variant B is reported on B1+B2
# run: only (§11 D207); a pooled B over three runs would use a subset missing half of one paper.
# run: GRRB_DELAY_MS=300, max_tokens 24, result.text read verbatim and parsed fence-tolerantly.
# columns: variant+run, id, label (1=genuine methods statement), answer, section kind, detail
variant	id	label	answer	kind	detail
A1	grrb-sci-000	0	no	Results	stop=stop {"answer":"no"}
A1	grrb-sci-001	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-002	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-003	0	no	Introduction	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-004	0	no	Introduction	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-005	1	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-006	1	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-007	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-008	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-009	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-010	1	yes	Methods	stop=stop {"answer":"yes"}
A1	grrb-sci-011	0	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-012	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-013	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-014	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-015	0	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-016	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-017	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-018	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-019	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-020	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-021	0	no	Other	stop=stop {"answer":"no"}
A1	grrb-sci-022	0	yes	Abstract	stop=stop {"answer":"yes"}
A1	grrb-sci-023	0	yes	Abstract	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-024	0	no	Introduction	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-025	0	yes	Introduction	stop=stop {"answer":"yes"}
A1	grrb-sci-026	0	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-027	0	no	Introduction	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-028	0	no	Introduction	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-029	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-030	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-031	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-032	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-033	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-034	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-035	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-036	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-037	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-038	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-039	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-040	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-041	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-042	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-043	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-044	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-045	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-046	0	no	Methods	stop=stop {"answer":"no"}
A1	grrb-sci-047	0	no	Discussion	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-048	0	excluded	Conclusion	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw prose, not a structured summary po
A1	grrb-sci-049	0	yes	Methods	stop=stop {"answer":"yes"}
A1	grrb-sci-050	1	yes	Abstract	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-051	0	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-052	1	yes	Methods	stop=stop {"answer":"yes"}
A1	grrb-sci-053	1	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-054	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-055	1	excluded	Methods	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 15 sentences reads like raw prose, not a structured summary po
A1	grrb-sci-056	0	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-057	1	yes	Methods	stop=stop {"answer":"yes"}
A1	grrb-sci-058	1	yes	Methods	stop=stop {"answer":"yes"}
A1	grrb-sci-059	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-060	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-061	0	no	Results	stop=stop {"answer":"no"}
A1	grrb-sci-062	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-063	0	yes	Results	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-064	0	yes	Results	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-065	0	yes	Results	stop=stop {"answer":"yes"}
A1	grrb-sci-066	0	yes	Results	stop=stop ```json {"answer":"yes"} ```
A1	grrb-sci-067	0	no	Results	stop=stop {"answer":"no"}
A1	grrb-sci-068	0	excluded	Results	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 11 sentences reads like raw prose, not a structured summary po
A1	grrb-sci-069	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-070	0	no	Results	stop=stop ```json {"answer":"no"} ```
A1	grrb-sci-071	0	yes	Discussion	stop=stop {"answer":"yes"}
A1	grrb-sci-072	0	no	Discussion	stop=stop ```json {"answer":"no"} ```
