# model: gpt-4o-2024-08-06, read from the API's own result.model echo on every row, not from config
# weights: OpenAI hosted; proxy started with OPENAI_MODEL=gpt-4o, which resolved to gpt-4o-2024-08-06
# run: methods_ctx_probe, run 1 of 3, 22 Sep 2026, 160 paragraphs of evals/grrb/scientific_extraction_ctx.jsonl
# run: variants A and B, 160 rows each; ground truth is the two-author corrected set (§11 D198), 26 genuine / 134 not
# run: the §11 D204 payload PLUS the paragraph's place in its document — section_heading,
# run: preceding_paragraph, following_paragraph — as four separate fields. 144 of 160 pass the
# run: proxy's structured validator; the 16 excluded are a strict superset of §11 D204's 12.
# run: GRRB_DELAY_MS=300, max_tokens 24, result.text read verbatim and parsed fence-tolerantly.
# run: THREE RUNS because the proxy sets no temperature (§11 D204 OPEN) — every reply is sampled
# run: at 1.0, and variant B's spread (49.0-52.1%) straddles the 50% decision line. §11 D205.
# columns: variant, id, label (1=genuine methods statement), answer, section kind, detail
variant	id	label	answer	kind	detail
A	grrb-sci-000	0	no	Results	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-001	0	yes	Results	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-002	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-003	0	no	Introduction	stop=stop {"answer":"no"}
A	grrb-sci-004	0	yes	Introduction	stop=stop {"answer":"yes"}
A	grrb-sci-005	1	yes	Introduction	stop=stop {"answer":"yes"}
A	grrb-sci-006	1	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-007	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-008	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-009	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-010	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-011	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-012	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-013	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-014	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-015	0	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-016	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-017	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-018	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-019	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-020	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-021	0	no	Other	stop=stop {"answer":"no"}
A	grrb-sci-022	0	yes	Abstract	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-023	0	no	Abstract	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-024	0	no	Introduction	stop=stop {"answer":"no"}
A	grrb-sci-025	0	yes	Introduction	stop=stop {"answer":"yes"}
A	grrb-sci-026	0	yes	Introduction	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-027	0	no	Introduction	stop=stop {"answer":"no"}
A	grrb-sci-028	0	no	Introduction	stop=stop {"answer":"no"}
A	grrb-sci-029	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-030	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-031	1	yes	Methods	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-032	0	no	Methods	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-033	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-034	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-035	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-036	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-037	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-038	0	no	Methods	stop=stop {"answer":"no"}
A	grrb-sci-039	0	no	Methods	stop=stop {"answer":"no"}
