# model: gpt-4o-2024-08-06, read from the API's own result.model echo, not from config
# weights: OpenAI hosted; proxy started with OPENAI_MODEL=gpt-4o, which resolved to gpt-4o-2024-08-06
# run: methods_cloud_probe variant A, 21 Sep 2026, 160 paragraphs of evals/grrb/scientific_extraction.jsonl
# run: ground truth is the two-author corrected set (§11 D198); 26 genuine / 134 not
# run: GRRB_VERBATIM=1 GRRB_MAX_TOKENS=24 -- result.text read verbatim and parsed
# run: fence-tolerantly. §11 D204: gpt-4o wraps replies in a ```json fence ~80% of
# run: the time and max_tokens 8 truncated it, so the typed client scored 38% of
# run: CORRECT answers as errors. The D197 default path is unchanged and still 8.
# run: transport is the real proxy -- App Check header, /verify route, structured
# run: validator -- so the same 12 paragraphs are excluded as in §11 D197.
# run: the proxy sets NO temperature, so OpenAI's default 1.0 applies: these rows
# run: are sampled, not deterministic.
variant	id	label	answer	detail
A	grrb-sci-000	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-001	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-002	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-003	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-004	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-005	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-006	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-007	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-008	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-009	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-010	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-011	0	no	stop=stop {"answer":"no"}
A	grrb-sci-012	0	no	stop=stop {"answer":"no"}
A	grrb-sci-013	0	no	stop=stop {"answer":"no"}
A	grrb-sci-014	0	no	stop=stop {"answer":"no"}
A	grrb-sci-015	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-016	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-017	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-018	0	no	stop=stop {"answer":"no"}
A	grrb-sci-019	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-020	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-021	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-022	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-023	0	no	stop=stop {"answer":"no"}
A	grrb-sci-024	0	no	stop=stop {"answer":"no"}
A	grrb-sci-025	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-026	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-027	0	no	stop=stop {"answer":"no"}
A	grrb-sci-028	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-029	0	no	stop=stop {"answer":"no"}
A	grrb-sci-030	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-031	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-032	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-033	0	no	stop=stop {"answer":"no"}
A	grrb-sci-034	0	no	stop=stop {"answer":"no"}
A	grrb-sci-035	0	no	stop=stop {"answer":"no"}
A	grrb-sci-036	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-037	0	no	stop=stop {"answer":"no"}
A	grrb-sci-038	0	no	stop=stop {"answer":"no"}
A	grrb-sci-039	0	no	stop=stop {"answer":"no"}
A	grrb-sci-040	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-041	0	no	stop=stop {"answer":"no"}
A	grrb-sci-042	0	no	stop=stop {"answer":"no"}
A	grrb-sci-043	0	no	stop=stop {"answer":"no"}
A	grrb-sci-044	0	no	stop=stop {"answer":"no"}
A	grrb-sci-045	0	no	stop=stop {"answer":"no"}
A	grrb-sci-046	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-047	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-048	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
A	grrb-sci-049	0	no	stop=stop {"answer":"no"}
A	grrb-sci-050	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-051	0	no	stop=stop {"answer":"no"}
A	grrb-sci-052	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-053	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-054	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-055	1	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 15 sentences reads like raw pros
A	grrb-sci-056	0	no	stop=stop {"answer":"no"}
A	grrb-sci-057	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-058	1	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-059	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-060	0	no	stop=stop {"answer":"no"}
A	grrb-sci-061	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-062	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-063	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-064	0	no	stop=stop {"answer":"no"}
A	grrb-sci-065	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-066	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-067	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-068	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 11 sentences reads like raw pros
A	grrb-sci-069	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-070	0	no	stop=stop {"answer":"no"}
A	grrb-sci-071	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-072	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-073	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-074	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-075	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-076	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-077	0	no	stop=stop {"answer":"no"}
A	grrb-sci-078	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-079	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
A	grrb-sci-080	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 10 sentences reads like raw pros
A	grrb-sci-081	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-082	0	no	stop=stop {"answer":"no"}
A	grrb-sci-083	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2104 chars looks like raw prose; s
A	grrb-sci-084	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 12 sentences reads like raw pros
A	grrb-sci-085	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 11 sentences reads like raw pros
A	grrb-sci-086	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field with 9 sentences reads like raw prose
A	grrb-sci-087	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2045 chars looks like raw prose; s
A	grrb-sci-088	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-089	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-090	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-091	0	excluded	422 Unprocessable Entity: {"detail":{"error":"validation_failed","reason":"a field of 2143 chars looks like raw prose; s
A	grrb-sci-092	0	no	stop=stop {"answer":"no"}
A	grrb-sci-093	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-094	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-095	0	no	stop=stop ```json {"answer":"no"} ```
A	grrb-sci-096	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-097	1	yes	stop=stop {"answer":"yes"}
A	grrb-sci-098	0	yes	stop=stop ```json {"answer":"yes"} ```
A	grrb-sci-099	0	yes	stop=stop {"answer":"yes"}
A	grrb-sci-100	0	yes	stop=stop ```json {"answer":"yes"} ```
